date,hour_utc,price
2013-01-01,0,29.07
2013-01-01,1,5.03
2013-01-01,2,-15.49
2013-01-01,3,-30.04
2013-01-01,4,-30.09
2013-01-01,5,-25.52
2013-01-01,6,-20.0
2013-01-01,7,-20.0
2013-01-01,8,-1.43
2013-01-01,9,0.0
2013-01-01,10,2.39
2013-01-01,11,11.66
2013-01-01,12,13.02
2013-01-01,13,13.07
2013-01-01,14,14.26
2013-01-01,15,15.39
2013-01-01,16,23.08
2013-01-01,17,35.07
2013-01-01,18,37.11
2013-01-01,19,35.05
2013-01-01,20,44.17
2013-01-01,21,29.07
2013-01-01,22,26.15
2013-01-01,23,15.5
2013-01-02,0,9.09
2013-01-02,1,9.08
2013-01-02,2,3.07
2013-01-02,3,3.01
2013-01-02,4,5.04
2013-01-02,5,15.15
2013-01-02,6,27.0
2013-01-02,7,38.64
2013-01-02,8,40.01
2013-01-02,9,41.13
2013-01-02,10,44.0
2013-01-02,11,44.7
2013-01-02,12,46.01
2013-01-02,13,45.25
2013-01-02,14,49.09
2013-01-02,15,48.76
2013-01-02,16,53.52
2013-01-02,17,60.07
2013-01-02,18,58.12
2013-01-02,19,52.48
2013-01-02,20,54.66
2013-01-02,21,40.0
2013-01-02,22,38.01
2013-01-02,23,31.62
2013-01-03,0,25.55
2013-01-03,1,17.81
2013-01-03,2,15.0
2013-01-03,3,10.71
2013-01-03,4,12.1
2013-01-03,5,21.1
2013-01-03,6,37.09
2013-01-03,7,53.01
2013-01-03,8,46.31
2013-01-03,9,46.06
2013-01-03,10,43.76
2013-01-03,11,43.08
2013-01-03,12,46.33
2013-01-03,13,43.92
2013-01-03,14,42.53
2013-01-03,15,44.84
2013-01-03,16,99.43
2013-01-03,17,130.02
2013-01-03,18,92.0
2013-01-03,19,53.06
2013-01-03,20,50.09
2013-01-03,21,45.03
2013-01-03,22,45.03
2013-01-03,23,40.02
2013-01-04,0,22.55
2013-01-04,1,17.28
2013-01-04,2,14.38
2013-01-04,3,13.9
2013-01-04,4,14.8
2013-01-04,5,23.05
2013-01-04,6,37.51
2013-01-04,7,44.0
2013-01-04,8,44.36
2013-01-04,9,46.9
2013-01-04,10,46.13
2013-01-04,11,45.0
2013-01-04,12,44.31
2013-01-04,13,42.8
2013-01-04,14,39.35
2013-01-04,15,39.35
2013-01-04,16,48.24
2013-01-04,17,68.03
2013-01-04,18,50.09
2013-01-04,19,44.74
2013-01-04,20,50.04
2013-01-04,21,37.2
2013-01-04,22,37.95
2013-01-04,23,34.7
2013-01-05,0,28.47
2013-01-05,1,19.0
2013-01-05,2,16.36
2013-01-05,3,13.55
2013-01-05,4,15.11
2013-01-05,5,17.05
2013-01-05,6,23.12
2013-01-05,7,29.63
2013-01-05,8,32.43
2013-01-05,9,37.5
2013-01-05,10,41.31
2013-01-05,11,41.98
2013-01-05,12,41.17
2013-01-05,13,39.5
2013-01-05,14,37.68
2013-01-05,15,37.85
2013-01-05,16,47.51
2013-01-05,17,80.06
2013-01-05,18,60.03
2013-01-05,19,70.09
2013-01-05,20,60.07
2013-01-05,21,39.53
2013-01-05,22,37.0
2013-01-05,23,30.44
2013-01-06,0,24.18
2013-01-06,1,19.0
2013-01-06,2,14.93
2013-01-06,3,11.44
2013-01-06,4,9.86
2013-01-06,5,10.0
2013-01-06,6,9.5
2013-01-06,7,13.74
2013-01-06,8,19.04
2013-01-06,9,28.02
2013-01-06,10,30.1
2013-01-06,11,39.46
2013-01-06,12,34.28
2013-01-06,13,31.07
2013-01-06,14,26.09
2013-01-06,15,25.08
2013-01-06,16,80.01
2013-01-06,17,45.09
2013-01-06,18,45.02
2013-01-06,19,101.03
2013-01-06,20,62.31
2013-01-06,21,34.33
2013-01-06,22,33.31
2013-01-06,23,26.46
2013-01-07,0,26.26
2013-01-07,1,23.93
2013-01-07,2,19.95
2013-01-07,3,18.0
2013-01-07,4,17.43
2013-01-07,5,25.93
2013-01-07,6,39.7
2013-01-07,7,54.06
2013-01-07,8,54.62
2013-01-07,9,56.03
2013-01-07,10,57.68
2013-01-07,11,55.09
2013-01-07,12,54.09
2013-01-07,13,55.68
2013-01-07,14,54.67
2013-01-07,15,56.0
2013-01-07,16,61.07
2013-01-07,17,65.0
2013-01-07,18,63.0
2013-01-07,19,56.25
2013-01-07,20,51.04
2013-01-07,21,42.19
2013-01-07,22,38.0
2013-01-07,23,33.39
2013-01-08,0,36.87
2013-01-08,1,33.8
2013-01-08,2,31.32
2013-01-08,3,29.17
2013-01-08,4,29.24
2013-01-08,5,33.36
2013-01-08,6,41.37
2013-01-08,7,59.92
2013-01-08,8,59.96
2013-01-08,9,60.01
2013-01-08,10,60.0
2013-01-08,11,59.98
2013-01-08,12,59.7
2013-01-08,13,59.0
2013-01-08,14,58.0
2013-01-08,15,56.1
2013-01-08,16,59.77
2013-01-08,17,69.57
2013-01-08,18,68.61
2013-01-08,19,62.95
2013-01-08,20,57.09
2013-01-08,21,47.05
2013-01-08,22,46.09
2013-01-08,23,37.08
2013-01-09,0,35.53
2013-01-09,1,34.72
2013-01-09,2,33.52
2013-01-09,3,32.06
2013-01-09,4,32.7
2013-01-09,5,36.0
2013-01-09,6,42.94
2013-01-09,7,61.0
2013-01-09,8,62.55
2013-01-09,9,62.45
2013-01-09,10,62.0
2013-01-09,11,63.0
2013-01-09,12,62.52
2013-01-09,13,62.0
2013-01-09,14,60.84
2013-01-09,15,58.7
2013-01-09,16,61.02
2013-01-09,17,67.02
2013-01-09,18,65.43
2013-01-09,19,61.47
2013-01-09,20,54.68
2013-01-09,21,47.42
2013-01-09,22,42.8
2013-01-09,23,36.08
2013-01-10,0,33.83
2013-01-10,1,32.0
2013-01-10,2,29.13
2013-01-10,3,28.72
