date,tick,export,import,system_load
2016.01.01.,0-1,1503,2351,4071
2016.01.01.,1-2,1613,2282,3873
2016.01.01.,2-3,1779,2224,3581
2016.01.01.,3-4,1923,2160,3356
2016.01.01.,4-5,1922,2115,3294
2016.01.01.,5-6,1843,2037,3302
2016.01.01.,6-7,1847,2067,3375
2016.01.01.,7-8,1835,2126,3436
2016.01.01.,8-9,1735,2165,3565
2016.01.01.,9-10,1516,2098,3755
2016.01.01.,10-11,1380,2115,3916
2016.01.01.,11-12,1244,2101,4058
2016.01.01.,12-13,1135,2033,4132
2016.01.01.,13-14,1074,1924,4075
2016.01.01.,14-15,1170,2060,4073
2016.01.01.,15-16,1254,2202,4129
2016.01.01.,16-17,936,2212,4404
2016.01.01.,17-18,993,2295,4523
2016.01.01.,18-19,1101,2365,4497
2016.01.01.,19-20,1137,2360,4468
2016.01.01.,20-21,1258,2388,4372
2016.01.01.,21-22,1347,2417,4267
2016.01.01.,22-23,1571,2450,4089
2016.01.01.,23-24,1646,2333,3879
2016.01.02.,0-1,1708,2195,3612
2016.01.02.,1-2,1842,2183,3475
2016.01.02.,2-3,1858,2048,3327
2016.01.02.,3-4,1808,1921,3230
2016.01.02.,4-5,1695,1863,3278
2016.01.02.,5-6,1636,1948,3428
2016.01.02.,6-7,1550,2048,3694
2016.01.02.,7-8,1557,2249,3916
2016.01.02.,8-9,1461,2408,4204
2016.01.02.,9-10,1320,2490,4491
2016.01.02.,10-11,1173,2418,4628
2016.01.02.,11-12,1051,2382,4724
2016.01.02.,12-13,1131,2500,4779
2016.01.02.,13-14,1099,2423,4710
2016.01.02.,14-15,1105,2404,4676
2016.01.02.,15-16,1083,2406,4704
2016.01.02.,16-17,910,2371,4936
2016.01.02.,17-18,946,2440,4987
2016.01.02.,18-19,1026,2567,4925
2016.01.02.,19-20,1140,2563,4871
2016.01.02.,20-21,1199,2583,4760
2016.01.02.,21-22,1271,2455,4585
2016.01.02.,22-23,1439,2404,4365
2016.01.02.,23-24,1617,2412,4126
2016.01.03.,0-1,1619,2204,3811
2016.01.03.,1-2,1767,2222,3675
2016.01.03.,2-3,1769,2111,3504
2016.01.03.,3-4,1764,2064,3393
2016.01.03.,4-5,1719,2006,3415
2016.01.03.,5-6,1750,2125,3493
2016.01.03.,6-7,1650,2215,3686
2016.01.03.,7-8,1613,2284,3876
2016.01.03.,8-9,1482,2445,4156
2016.01.03.,9-10,1307,2527,4453
2016.01.03.,10-11,1341,2594,4679
2016.01.03.,11-12,1181,2568,4786
2016.01.03.,12-13,1141,2637,4771
2016.01.03.,13-14,1180,2568,4636
2016.01.03.,14-15,1212,2572,4579
2016.01.03.,15-16,1091,2512,4625
2016.01.03.,16-17,875,2581,4952
2016.01.03.,17-18,824,2648,5094
2016.01.03.,18-19,842,2622,5077
2016.01.03.,19-20,986,2650,5076
2016.01.03.,20-21,1174,2675,4902
2016.01.03.,21-22,1308,2614,4665
2016.01.03.,22-23,1396,2422,4415
2016.01.03.,23-24,1554,2373,4178
2016.01.04.,0-1,1538,2056,3925
2016.01.04.,1-2,1477,1886,3832
2016.01.04.,2-3,1351,1575,3667
2016.01.04.,3-4,1348,1475,3614
2016.01.04.,4-5,1546,1763,3739
2016.01.04.,5-6,1567,2024,4120
2016.01.04.,6-7,1475,2347,4959
2016.01.04.,7-8,1383,2289,5299
2016.01.04.,8-9,1399,2321,5443
2016.01.04.,9-10,1527,2535,5565
2016.01.04.,10-11,1406,2474,5637
2016.01.04.,11-12,1386,2525,5737
2016.01.04.,12-13,1290,2707,5796
2016.01.04.,13-14,1379,2615,5754
2016.01.04.,14-15,1306,2569,5717
2016.01.04.,15-16,1148,2493,5723
2016.01.04.,16-17,952,2521,5872
2016.01.04.,17-18,936,2522,5908
2016.01.04.,18-19,942,2434,5845
2016.01.04.,19-20,1076,2492,5780
2016.01.04.,20-21,1194,2393,5573
2016.01.04.,21-22,1505,2498,5381
2016.01.04.,22-23,1520,2635,5117
2016.01.04.,23-24,1682,2728,4845
2016.01.05.,0-1,1798,2634,4505
2016.01.05.,1-2,1627,2352,4328
2016.01.05.,2-3,1696,2260,4120
2016.01.05.,3-4,1746,2240,4022
2016.01.05.,4-5,1642,2230,4137
2016.01.05.,5-6,1764,2455,4498
2016.01.05.,6-7,1490,2573,5254
2016.01.05.,7-8,1395,2712,5552
2016.01.05.,8-9,1246,2494,5630
2016.01.05.,9-10,1136,2411,5693
2016.01.05.,10-11,1068,2359,5724
2016.01.05.,11-12,974,2288,5765
2016.01.05.,12-13,990,2398,5789
2016.01.05.,13-14,1049,2353,5728
2016.01.05.,14-15,1020,2376,5736
2016.01.05.,15-16,947,2307,5825
2016.01.05.,16-17,801,2358,5988
