date,tick,export,import,system_load
2016.01.01.,0-1,1503.0,2351.0,4071.0
2016.01.01.,1-2,1613.0,2282.0,3873.0
2016.01.01.,2-3,1779.0,2224.0,3581.0
2016.01.01.,3-4,1923.0,2160.0,3356.0
2016.01.01.,4-5,1922.0,2115.0,3294.0
2016.01.01.,5-6,1843.0,2037.0,3302.0
2016.01.01.,6-7,1847.0,2067.0,3375.0
2016.01.01.,7-8,1835.0,2126.0,3436.0
2016.01.01.,8-9,1735.0,2165.0,3565.0
2016.01.01.,9-10,1516.0,2098.0,3755.0
2016.01.01.,10-11,1380.0,2115.0,3916.0
2016.01.01.,11-12,1244.0,2101.0,4058.0
2016.01.01.,12-13,1135.0,2033.0,4132.0
2016.01.01.,13-14,1074.0,1924.0,4075.0
2016.01.01.,14-15,1170.0,2060.0,4073.0
2016.01.01.,15-16,1254.0,2202.0,4129.0
2016.01.01.,16-17,936.0,2212.0,4404.0
2016.01.01.,17-18,993.0,2295.0,4523.0
2016.01.01.,18-19,1101.0,2365.0,4497.0
2016.01.01.,19-20,1137.0,2360.0,4468.0
2016.01.01.,20-21,1258.0,2388.0,4372.0
2016.01.01.,21-22,1347.0,2417.0,4267.0
2016.01.01.,22-23,1571.0,2450.0,4089.0
2016.01.01.,23-24,1646.0,2333.0,3879.0
2016.01.02.,0-1,1708.0,2195.0,3612.0
2016.01.02.,1-2,1842.0,2183.0,3475.0
2016.01.02.,2-3,1858.0,2048.0,3327.0
2016.01.02.,3-4,1808.0,1921.0,3230.0
2016.01.02.,4-5,1695.0,1863.0,3278.0
2016.01.02.,5-6,1636.0,1948.0,3428.0
2016.01.02.,6-7,1550.0,2048.0,3694.0
2016.01.02.,7-8,1557.0,2249.0,3916.0
2016.01.02.,8-9,1461.0,2408.0,4204.0
2016.01.02.,9-10,1320.0,2490.0,4491.0
2016.01.02.,10-11,1173.0,2418.0,4628.0
2016.01.02.,11-12,1051.0,2382.0,4724.0
2016.01.02.,12-13,1131.0,2500.0,4779.0
2016.01.02.,13-14,1099.0,2423.0,4710.0
2016.01.02.,14-15,1105.0,2404.0,4676.0
2016.01.02.,15-16,1083.0,2406.0,4704.0
2016.01.02.,16-17,910.0,2371.0,4936.0
2016.01.02.,17-18,946.0,2440.0,4987.0
2016.01.02.,18-19,1026.0,2567.0,4925.0
2016.01.02.,19-20,1140.0,2563.0,4871.0
2016.01.02.,20-21,1199.0,2583.0,4760.0
2016.01.02.,21-22,1271.0,2455.0,4585.0
2016.01.02.,22-23,1439.0,2404.0,4365.0
2016.01.02.,23-24,1617.0,2412.0,4126.0
