date_utc,hour_utc,system_vertical_load_MW
2013-01-01,0,4034
2013-01-01,1,3744
2013-01-01,2,3541
2013-01-01,3,3466
2013-01-01,4,3488
2013-01-01,5,3556
2013-01-01,6,3581
2013-01-01,7,3710
2013-01-01,8,3900
2013-01-01,9,4098
2013-01-01,10,4231
2013-01-01,11,4284
2013-01-01,12,4240
2013-01-01,13,4277
2013-01-01,14,4360
2013-01-01,15,4700
2013-01-01,16,4844
2013-01-01,17,4836
2013-01-01,18,4875
2013-01-01,19,4763
2013-01-01,20,4564
2013-01-01,21,4340
2013-01-01,22,4121
2013-01-01,23,3842
2013-01-02,0,3694
2013-01-02,1,3536
2013-01-02,2,3456
2013-01-02,3,3559
2013-01-02,4,3886
2013-01-02,5,4507
2013-01-02,6,4863
2013-01-02,7,5068
2013-01-02,8,5284
2013-01-02,9,5410
2013-01-02,10,5484
2013-01-02,11,5543
2013-01-02,12,5473
2013-01-02,13,5448
2013-01-02,14,5506
2013-01-02,15,5766
2013-01-02,16,5764
2013-01-02,17,5664
2013-01-02,18,5579
2013-01-02,19,5457
2013-01-02,20,5273
2013-01-02,21,5072
2013-01-02,22,4833
2013-01-02,23,4434
2013-01-03,0,4204
2013-01-03,1,3982
2013-01-03,2,3888
2013-01-03,3,3974
2013-01-03,4,4288
2013-01-03,5,4954
2013-01-03,6,5243
2013-01-03,7,5276
2013-01-03,8,5301
2013-01-03,9,5354
2013-01-03,10,5377
2013-01-03,11,5424
2013-01-03,12,5412
2013-01-03,13,5453
2013-01-03,14,5533
2013-01-03,15,5806
2013-01-03,16,5837
2013-01-03,17,5709
2013-01-03,18,5607
2013-01-03,19,5485
2013-01-03,20,5316
2013-01-03,21,5089
2013-01-03,22,4810
2013-01-03,23,4447
2013-01-04,0,4227
2013-01-04,1,4003
2013-01-04,2,3884
2013-01-04,3,3972
2013-01-04,4,4302
2013-01-04,5,4982
2013-01-04,6,5280
2013-01-04,7,5318
2013-01-04,8,5386
2013-01-04,9,5426
2013-01-04,10,5428
2013-01-04,11,5451
2013-01-04,12,5382
2013-01-04,13,5364
2013-01-04,14,5425
2013-01-04,15,5739
2013-01-04,16,5772
2013-01-04,17,5648
2013-01-04,18,5551
2013-01-04,19,5444
2013-01-04,20,5283
2013-01-04,21,5102
2013-01-04,22,4843
2013-01-04,23,4461
2013-01-05,0,4190
2013-01-05,1,3965
2013-01-05,2,3849
2013-01-05,3,3855
2013-01-05,4,3965
2013-01-05,5,4225
2013-01-05,6,4436
2013-01-05,7,4651
2013-01-05,8,4867
2013-01-05,9,5013
2013-01-05,10,5090
2013-01-05,11,5096
2013-01-05,12,4984
2013-01-05,13,4948
2013-01-05,14,4964
2013-01-05,15,5266
2013-01-05,16,5398
2013-01-05,17,5338
2013-01-05,18,5323
2013-01-05,19,5202
2013-01-05,20,4948
2013-01-05,21,4688
2013-01-05,22,4446
2013-01-05,23,4133
2013-01-06,0,3961
2013-01-06,1,3767
2013-01-06,2,3636
2013-01-06,3,3630
2013-01-06,4,3740
2013-01-06,5,3957
2013-01-06,6,4151
2013-01-06,7,4423
2013-01-06,8,4732
2013-01-06,9,4949
2013-01-06,10,5049
2013-01-06,11,5002
2013-01-06,12,4879
2013-01-06,13,4854
2013-01-06,14,4950
2013-01-06,15,5274
2013-01-06,16,5368
2013-01-06,17,5343
2013-01-06,18,5351
2013-01-06,19,5234
2013-01-06,20,4922
2013-01-06,21,4637
2013-01-06,22,4359
2013-01-06,23,4056
2013-01-07,0,3938
2013-01-07,1,3777
2013-01-07,2,3695
2013-01-07,3,3804
2013-01-07,4,4247
2013-01-07,5,5147
2013-01-07,6,5494
2013-01-07,7,5530
2013-01-07,8,5565
2013-01-07,9,5604
2013-01-07,10,5606
2013-01-07,11,5623
2013-01-07,12,5574
2013-01-07,13,5571
2013-01-07,14,5647
