date,max,min,rain,snow,avg_max,avg_min
2016.01.01.,-3,-10,0,0,2,-2
2016.01.02.,-5,-8,0,0.5,2,-2
2016.01.03.,-4,-11,0,0,2,-2
2016.01.04.,-7,-12,4,5.1,2,-3
2016.01.05.,-4,-8,0,0.5,2,-3
2016.01.06.,0,-5,4,4.1,2,-3
2016.01.07.,4,-6,0,0,2,-3
2016.01.08.,-1,-7,0,0,2,-3
2016.01.09.,1,-3,12,0,2,-3
2016.01.10.,3,0,12,0,2,-3
2016.01.11.,8,0,11,0,2,-3
2016.01.12.,9,3,0,0,2,-3
2016.01.13.,9,1,1,0,2,-3
2016.01.14.,7,0,1,0,2,-3
2016.01.15.,4,0,2,0,2,-3
2016.01.16.,5,-1,0,0,2,-3
2016.01.17.,-1,-4,0,0,2,-3
2016.01.18.,0,-8,0,0,2,-3
2016.01.19.,-1,-10,0,0,2,-3
2016.01.20.,0,-5,0,0,2,-3
2016.01.21.,1,-5,0,0,2,-3
2016.01.22.,1,-9,0,0,2,-3
2016.01.23.,-1,-10,0,0,2,-3
2016.01.24.,-1,-4,2,4.1,2,-3
2016.01.25.,2,-2,3,0,2,-3
2016.01.26.,3,0,0,0,2,-3
2016.01.27.,2,-1,0,0,3,-3
2016.01.28.,9,-1,0,0,3,-3
2016.01.29.,7,-1,1,0,3,-3
2016.01.30.,9,-2,0,0,3,-3
2016.01.31.,8,2,0,0,3,-3
2016.02.01.,10,3,4,0,3,-3
2016.02.02.,13,4,0,0,3,-3
2016.02.03.,11,4,4,0,3,-3
2016.02.04.,7,2,0,0,3,-3
2016.02.05.,7,-1,0,0,3,-3
2016.02.06.,9,-2,0,0,3,-3
2016.02.07.,12,0,0,0,3,-3
2016.02.08.,10,2,1,0,4,-3
2016.02.09.,14,5,0,0,4,-3
2016.02.10.,11,3,19,0,4,-3
2016.02.11.,9,-1,0,0,4,-3
2016.02.12.,10,-3,2,0,4,-3
2016.02.13.,5,2,6,0,4,-3
2016.02.14.,13,1,6,0,4,-2
2016.02.15.,9,5,10,0,4,-2
2016.02.16.,7,5,0,0,4,-2
2016.02.17.,9,3,0,0,5,-2
2016.02.18.,11,6,7,0,5,-2
2016.02.19.,7,3,6,0,5,-2
2016.02.20.,8,1,0,0,6,-2
2016.02.21.,11,3,1,0,6,-2
2016.02.22.,17,4,0,0,6,-1
2016.02.23.,10,6,6,0,6,-1
2016.02.24.,8,0,0,0,6,-1
2016.02.25.,7,-3,1,0,7,-1
2016.02.26.,8,-1,0,0,7,-1
2016.02.27.,7,-2,0,0,7,-1
2016.02.28.,10,2,0,0,7,-1
2016.02.29.,10,7,15,0,7,-1
2016.03.01.,8,2,18,0,7,-1
2016.03.02.,10,2,0,0,7,0
2016.03.03.,10,2,2,0,8,0
2016.03.04.,13,1,0,0,8,0
2016.03.05.,11,0,0,0,8,1
2016.03.06.,12,5,2,0,8,1
2016.03.07.,8,5,15,0,8,1
2016.03.08.,10,2,0,0,9,1
2016.03.09.,12,1,0,0,9,1
2016.03.10.,15,4,0,0,9,1
2016.03.11.,15,8,0,0,9,1
2016.03.12.,11,7,0,0,9,1
2016.03.13.,13,5,0,0,9,2
